title,language,genre,avg_vote
Kanni Maadam,Tamil,"Drama, Romance",7.5
Taramani,Tamil,"Drama, Romance",7.5
Thillana Mohanambal,Tamil,"Drama, Musical, Romance",7.4
Kushi,Tamil,"Comedy, Drama, Romance",7.4
Iyarkai,Tamil,Romance,7.4
Santhosh Subramaniyam,Tamil,"Comedy, Family, Romance",7.4
Amarkalam,Tamil,"Action, Drama, Romance",7.3
Mynaa,Tamil,"Action, Romance",7.3
Aval Oru Thodar Kathai,Tamil,"Drama, Romance",7.3
Naanum Rowdydhaan,Tamil,"Action, Comedy, Romance",7.3
Kadhalum Kadanthu Pogum,Tamil,"Comedy, Drama, Romance",7.3
Kadhalan,Tamil,"Action, Drama, Romance",7.2
Kanda Naal Mudhal,Tamil,"Comedy, Romance",7.2
Pudhiya Paravai,Tamil,"Romance, Thriller",7.2
Mugavari,Tamil,"Drama, Romance",7.2
Yaaradi Nee Mohini,Tamil,"Drama, Romance",7.2
Aadhalal Kadhal Seiveer,Tamil,Romance,7.2
Nunnunarvu,Tamil,"Romance, Sci-Fi, Thriller",7.2
Meyaadha Maan,Tamil,Romance,7.2
Moondru Mudichu,Tamil,Romance,7.1
Thambikku Entha Ooru,Tamil,"Action, Drama, Romance",7.1
Nerukku Ner,Tamil,"Action, Drama, Romance",7.1
Ullam Ketkumae,Tamil,Romance,7.1
Azhagi,Tamil,"Drama, Romance",7.1
Manmadhan,Tamil,"Crime, Mystery, Romance",7.1
Siva Manasula Sakthi,Tamil,"Comedy, Drama, Romance",7.1
Chithiram Pesuthadi,Tamil,"Drama, Romance, Thriller",7.1
Kadhal Mannan,Tamil,"Drama, Romance",7.1
Maryan,Tamil,"Adventure, Drama, Romance",7.1
Attakathi,Tamil,"Comedy, Romance",7.1
Kalyana Samayal Saadham,Tamil,"Comedy, Romance",7.1
Azhakan,Tamil,"Drama, Romance",7
Anbe Vaa,Tamil,"Comedy, Romance",7
Vaanathaipola,Tamil,"Drama, Musical, Romance",7
Avargal,Tamil,"Drama, Romance",6.9
Ilamai Oonjal Aadukirathu,Tamil,"Drama, Romance",6.9
Chinna Gounder,Tamil,"Drama, Romance, Thriller",6.9
Nallavanukku Nallavan,Tamil,"Drama, Romance",6.9
Sillunu Oru Kadhal,Tamil,"Drama, Romance",6.9
Priyamanavale,Tamil,"Drama, Romance",6.9
Ilampuyal,Tamil,"Action, Romance",6.9
Amara Kaaviyam,Tamil,"Romance, Thriller",6.9
Nila,Tamil,"Drama, Romance",6.9
Love Today,Tamil,"Drama, Romance",6.9
Chinna Veedu,Tamil,"Comedy, Romance",6.8
Idhayam,Tamil,"Drama, Romance",6.8
Something Something... Unnakum Ennakum,Tamil,Romance,6.8
Ethir Neechal,Tamil,"Comedy, Romance, Sport",6.8
Ninaithen Vandhai,Tamil,"Drama, Romance",6.8
Priyamudan,Tamil,"Romance, Thriller",6.8
Karagattakaran,Tamil,"Comedy, Drama, Romance",6.7
Kaavalan,Tamil,"Action, Drama, Romance",6.7
Anegan,Tamil,"Action, Romance, Thriller",6.7
Em Magan,Tamil,"Drama, Romance",6.7
Varuthapadatha Valibar Sangam,Tamil,"Comedy, Romance",6.7
Uyirvarai Iniththaai,Tamil,"Comedy, Romance",6.7
Shahjahan,Tamil,"Drama, Romance",6.7
Alaigal Ooivathilai,Tamil,"Drama, Romance",6.6
Parthen Rasithen,Tamil,"Romance, Thriller",6.6
Chinna Thambi,Tamil,"Drama, Romance",6.6
Ejamaan,Tamil,"Drama, Romance",6.6
